system,metric,mean,ci95_low,ci95_high,count
baseline,agentic.retrieval_rounds,1.0,1.0,1.0,120
baseline,agentic.rewritten,0.0,0.0,0.0,120
baseline,agentic.verified,0.0,0.0,0.0,120
baseline,answer.citation_coverage,0.5942422161172161,0.5485714858058608,0.6426215977309727,120
baseline,answer.citation_validity,1.0,1.0,1.0,119
baseline,answer.forbidden_claim_rate,0.0,0.0,0.0,118
baseline,answer.required_claim_coverage,0.011695906432748537,0.0,0.03216374269005848,114
baseline,answer.token_f1,0.3311136221508702,0.30168936176206795,0.3586761586856365,120
baseline,decision.correct_abstention,0.0,0.0,0.0,12
baseline,decision.false_answer,1.0,1.0,1.0,12
baseline,decision.false_rejection,0.0,0.0,0.0,108
baseline,decision.found_accuracy,0.9,0.8416666666666667,0.95,120
baseline,performance.error,0.0,0.0,0.0,120
baseline,performance.estimated_cost_cny,0.001474375,0.0013920360416666666,0.0015586547916666667,120
baseline,performance.input_tokens,847.6583333333333,814.7352083333334,877.4839583333334,120
baseline,performance.latency_ms,3725.775,3379.7775,4089.092708333333,120
baseline,performance.output_tokens,313.35833333333335,277.8616666666667,351.9502083333333,120
baseline,ragas.answer_correctness,0.4315833333333333,0.36890416666666664,0.49109375,120
baseline,ragas.answer_relevancy,0.8039858910544156,0.7434703816031558,0.8586625721504025,120
baseline,ragas.context_precision,0.7918981480853858,0.7210590277225538,0.8546701388163116,120
baseline,ragas.context_recall,0.9533928571428572,0.9149895833333334,0.9833333333333333,120
baseline,ragas.faithfulness,0.8926883742619037,0.8615397562710981,0.9241528575761112,120
baseline,retrieval.accepted.document_recall@1,0.8101851851851852,0.75,0.8703703703703703,108
baseline,retrieval.accepted.document_recall@3,0.9583333333333334,0.9259259259259259,0.9861111111111112,108
baseline,retrieval.accepted.document_recall@5,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
baseline,retrieval.accepted.hitrate@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.accepted.hitrate@3,0.9722222222222222,0.9351851851851852,1.0,108
baseline,retrieval.accepted.hitrate@5,0.9907407407407407,0.9722222222222222,1.0,108
baseline,retrieval.accepted.matches@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.accepted.matches@3,1.1388888888888888,1.0648148148148149,1.212962962962963,108
baseline,retrieval.accepted.matches@5,1.1666666666666667,1.0925925925925926,1.2314814814814814,108
baseline,retrieval.accepted.mrr,0.933641975308642,0.8965663580246913,0.9675925925925926,108
baseline,retrieval.accepted.ndcg@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.accepted.ndcg@3,0.9184329265143741,0.8794556237911206,0.9545004727015673,108
baseline,retrieval.accepted.ndcg@5,0.9288534935395536,0.8944402943730124,0.9594873329710613,108
baseline,retrieval.accepted.precision@1,0.8888888888888888,0.8240740740740741,0.9444444444444444,108
baseline,retrieval.accepted.precision@3,0.3796296296296296,0.35493827160493824,0.40432098765432095,108
baseline,retrieval.accepted.precision@5,0.23333333333333334,0.21851851851851853,0.24629629629629632,108
baseline,retrieval.accepted.recall@1,0.7870370370370371,0.7222222222222222,0.8518518518518519,108
baseline,retrieval.accepted.recall@3,0.9444444444444444,0.9074074074074074,0.9768518518518519,108
baseline,retrieval.accepted.recall@5,0.9675925925925926,0.9398148148148148,0.9907407407407407,108
